indicator_name,indicator_feature_combined
Brazilian fines: 65%Fe: Spot Price Index: Jingtang port,"Brazilian fines: 65%Fe: Spot Price Index: Jingtang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Brazilian fines: 65%Fe: Spot Price Index: Lianyungang port,"Brazilian fines: 65%Fe: Spot Price Index: Lianyungang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Brazilian fines: 65%Fe: Spot Price Index: Qingdao port,"Brazilian fines: 65%Fe: Spot Price Index: Qingdao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Brazilian fines: 65%Fe: Spot Price Index: Rizhao port,"Brazilian fines: 65%Fe: Spot Price Index: Rizhao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Brazilian fines: 65%Fe: Spot Price Index: Tianjin port,"Brazilian fines: 65%Fe: Spot Price Index: Tianjin port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Bunker FO 380 CST 3.5% Dlvd Rotterdam,Bunker FO 380 CST 3.5% Dlvd Rotterdam_daily_daily_Europe_Platts_Bunker
Bunker FO 380 CST Dlvd Fujairah,Bunker FO 380 CST Dlvd Fujairah_daily_daily_MENA_Platts_Bunker
Bunker FO 380 CST Dlvd Singapore,Bunker FO 380 CST Dlvd Singapore_daily_daily_Southeast Asia_Platts_Bunker
"Business confidence, ISM manufacturing composite Index, 50+=increasing, United States","Business confidence, ISM manufacturing composite Index, 50+=increasing, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
CISA members: Crude Steel Production:China (Every ten days),CISA members: Crude Steel Production:China (Every ten days)_10-day_10-day_China_Mysteel_Steel
CISA members: Inventory of Steel products (Every ten days),CISA members: Inventory of Steel products (Every ten days)_10-day_10-day_China_Mysteel_Steel
CISA members: pig iron: Average daily production(Every ten days),"CISA members: pig iron: Average daily production(Every ten days)_10-day_10-day_China_Mysteel_Metallics, Pig iron"
CME Term SOFR 1 Month,CME Term SOFR 1 Month_daily_daily_Global_Bloomberg_Macroeconomic
CME Term SOFR 12 Month,CME Term SOFR 12 Month_daily_daily_Global_Bloomberg_Macroeconomic
CME Term SOFR 3 Month,CME Term SOFR 3 Month_daily_daily_Global_Bloomberg_Macroeconomic
CME Term SOFR 6 Month,CME Term SOFR 6 Month_daily_daily_Global_Bloomberg_Macroeconomic
CNI Brazil Manufacture Industry Capacity Utilization SA,"CNI Brazil Manufacture Industry Capacity Utilization SA_monthly_monthly_South America_Bloomberg_Metallics, Pig iron"
CR sheet/coil: Inventory of Steel Mills: China,"CR sheet/coil: Inventory of Steel Mills: China_weekly_weekly_China_Mysteel_CRC, Steel"
CR sheet/coil: Inventory of Traders: 23 cities: China,"CR sheet/coil: Inventory of Traders: 23 cities: China_weekly_weekly_China_Mysteel_Steel, CRC"
CR sheet/coil: Inventory of Traders: 26 cities: China,"CR sheet/coil: Inventory of Traders: 26 cities: China_weekly_weekly_China_Mysteel_CRC, Steel"
CR sheet/coil: Inventory of Traders: 33 cities: China,"CR sheet/coil: Inventory of Traders: 33 cities: China_weekly_weekly_China_Mysteel_Steel, HRC"
CR sheet/coil:Steel Mills:Production,"CR sheet/coil:Steel Mills:Production_weekly_weekly_China_Mysteel_CRC, Steel"
Caixin China Manufacturing PMI SA,Caixin China Manufacturing PMI SA_monthly_monthly_China_Bloomberg_Macroeconomic
Capacity Utilization of 186 mining enterprises (363 mines),"Capacity Utilization of 186 mining enterprises (363 mines)_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Capacity Utilizationof 85 independent electric arc furnace: steel mills: China,"Capacity Utilizationof 85 independent electric arc furnace: steel mills: China_weekly_weekly_China_Mysteel_EAF, Steel"
Capacity Utilziation of 126 Mining Enterprises (266 Mines),"Capacity Utilziation of 126 Mining Enterprises (266 Mines)_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): Central China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): Central China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): East China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): East China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): North China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): North China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): Northeast China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): Northeast China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): Northwest China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): Northwest China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): South China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): South China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Capacity Utilziation of 126 Mining Enterprises (266 Mines): Southwest China,"Capacity Utilziation of 126 Mining Enterprises (266 Mines): Southwest China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of Large Mines: 126 Mining Enterprises (266 Mines),"Capacity Utilziation of Large Mines: 126 Mining Enterprises (266 Mines)_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of Medium Mines: 126 Mining Enterprises (266 Mines),"Capacity Utilziation of Medium Mines: 126 Mining Enterprises (266 Mines)_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capacity Utilziation of Small Mines: 126 Mining Enterprises (266 Mines),"Capacity Utilziation of Small Mines: 126 Mining Enterprises (266 Mines)_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Capital Goods New Orders Nondefense Excluding Aircraft SA,Capital Goods New Orders Nondefense Excluding Aircraft SA_monthly_monthly_North America_Bloomberg_Macroeconomic
Carbon plate: 20mm: Price summary-listed prices: Shanghai,"Carbon plate: 20mm: Price summary-listed prices: Shanghai_daily_daily_China_Mysteel_HRC, Steel"
Carbon semi-finished steel: Inventory at Mainstream warehousing: Tangshan,"Carbon semi-finished steel: Inventory at Mainstream warehousing: Tangshan_weekly_weekly_China_Mysteel_Slab, Billet, Steel"
China BF Maintenance rate,"China BF Maintenance rate_weekly_weekly_China_Mysteel_Metallics, Steel, Pig iron"
China Backlogs of Orders PMI SA,China Backlogs of Orders PMI SA_monthly_monthly_China_Bloomberg_Macroeconomic
China Completed Investment in Real Estate Development (Cumulative) YoY,China Completed Investment in Real Estate Development (Cumulative) YoY_monthly_monthly_China_Bloomberg_Macroeconomic
China Completed Investment in Real Estate(Cumulative)YoY,China Completed Investment in Real Estate(Cumulative)YoY_monthly_monthly_China_Bloomberg_Macroeconomic
China Electronics Production: Household Refrigerators (Monthly),China Electronics Production: Household Refrigerators (Monthly)_monthly_monthly_China_Mysteel_Macroeconomic
